slug,sku,color_name,size_label,size_system,stock_qty,price_override,active
ff-arctic-baselayer,FF-ABL-BLK-S,Black,S,alpha,18,,true
ff-arctic-baselayer,FF-ABL-BLK-M,Black,M,alpha,22,,true
ff-arctic-baselayer,FF-ABL-NVY-M,Navy,M,alpha,15,,true
ff-arctic-baselayer,FF-ABL-CHR-L,Charcoal,L,alpha,10,,true
ff-heatwave-ls,FF-HWL-BLK-M,Black,M,alpha,20,,true
ff-heatwave-ls,FF-HWL-BLK-L,Black,L,alpha,16,,true
ff-heatwave-ls,FF-HWL-NVY-M,Navy,M,alpha,12,,true
ff-trailwind-jersey,FF-TWJ-CRL-XS,Coral,XS,alpha,8,,true
ff-trailwind-jersey,FF-TWJ-CRL-S,Coral,S,alpha,14,,true
ff-trailwind-jersey,FF-TWJ-NVY-M,Navy,M,alpha,10,,true
ff-alpine-fleece-mid,FF-AFM-FST-S,Forest,S,alpha,12,,true
ff-alpine-fleece-mid,FF-AFM-FST-M,Forest,M,alpha,16,,true
ff-alpine-fleece-mid,FF-AFM-GRY-L,Grey,L,alpha,9,,true
ff-cycle-aero-jersey,FF-CAJ-BLK-S,Black,S,alpha,10,,true
ff-cycle-aero-jersey,FF-CAJ-BLK-M,Black,M,alpha,13,,true
ff-cycle-aero-jersey,FF-CAJ-RED-M,Red,M,alpha,8,,true
ff-studio-flow-top,FF-SFT-BLK-XS,Black,XS,alpha,14,,true
ff-studio-flow-top,FF-SFT-BLK-S,Black,S,alpha,18,,true
ff-studio-flow-top,FF-SFT-SGE-S,Sage,S,alpha,11,,true
ff-solar-guard-ls,FF-SGL-WHT-S,White,S,alpha,16,,true
ff-solar-guard-ls,FF-SGL-WHT-M,White,M,alpha,20,,true
ff-solar-guard-ls,FF-SGL-BLU-L,Sky Blue,L,alpha,12,,true
ff-qzip-thermal,FF-QZT-CHR-S,Charcoal,S,alpha,14,,true
ff-qzip-thermal,FF-QZT-CHR-M,Charcoal,M,alpha,18,,true
ff-qzip-thermal,FF-QZT-NVY-L,Navy,L,alpha,10,,true
ff-swim-rashguard-ls,FF-SRL-BLK-XS,Black,XS,alpha,12,,true
ff-swim-rashguard-ls,FF-SRL-BLK-S,Black,S,alpha,16,,true
ff-swim-rashguard-ls,FF-SRL-BLU-M,Blue,M,alpha,10,,true
ff-comp-ls-top,FF-CLT-BLK-S,Black,S,alpha,15,,true
ff-comp-ls-top,FF-CLT-BLK-M,Black,M,alpha,19,,true
ff-comp-ls-top,FF-CLT-PLM-S,Plum,S,alpha,9,,true
ff-yoga-wrap-top,FF-YWT-BLS-XS,Blush,XS,alpha,10,,true
ff-yoga-wrap-top,FF-YWT-BLS-S,Blush,S,alpha,14,,true
ff-yoga-wrap-top,FF-YWT-SGE-M,Sage,M,alpha,11,,true
ff-tech-polo,FF-TKP-NVY-S,Navy,S,alpha,12,,true
ff-tech-polo,FF-TKP-NVY-M,Navy,M,alpha,16,,true
ff-tech-polo,FF-TKP-WHT-L,White,L,alpha,9,,true
ff-run-singlet,FF-RSN-BLK-XS,Black,XS,alpha,18,,true
ff-run-singlet,FF-RSN-BLK-S,Black,S,alpha,22,,true
