slug,sku,color_name,size_label,size_system,stock_qty,price_override,active
ff-cloudrun-tee,FF-CRT-BLK-S,Black,S,alpha,20,,true
ff-cloudrun-tee,FF-CRT-BLK-M,Black,M,alpha,18,,true
ff-cloudrun-tee,FF-CRT-WHT-M,White,M,alpha,14,,true
ff-cloudrun-tee,FF-CRT-WHT-L,White,L,alpha,10,,true
ff-altitude-shell,FF-ASH-OLV-M,Olive,M,alpha,9,,true
ff-altitude-shell,FF-ASH-OLV-L,Olive,L,alpha,7,,true
ff-altitude-shell,FF-ASH-STM-XL,Storm,XL,alpha,5,239.99,true
ff-stride-fleece,FF-SFJ-CHR-M,Charcoal,M,alpha,15,,true
ff-stride-fleece,FF-SFJ-CHR-L,Charcoal,L,alpha,13,,true
ff-stride-fleece,FF-SFJ-NVY-M,Navy,M,alpha,8,,true
ff-velocity-tight,FF-VCT-BLK-S,Black,S,alpha,12,,true
ff-velocity-tight,FF-VCT-BLK-M,Black,M,alpha,10,,true
ff-velocity-tight,FF-VCT-PLM-M,Plum,M,alpha,8,,true
ff-midnight-hoodie,FF-MRH-JBK-M,Jet Black,M,alpha,16,,true
ff-midnight-hoodie,FF-MRH-JBK-L,Jet Black,L,alpha,12,,true
ff-midnight-hoodie,FF-MRH-STN-XL,Stone,XL,alpha,6,,true
ff-trailspark-shoe,FF-TSR-BLK-8,Black,8,us,11,,true
ff-trailspark-shoe,FF-TSR-BLK-9,Black,9,us,10,,true
ff-trailspark-shoe,FF-TSR-SGE-10,Sage,10,us,9,,true
ff-trailspark-shoe,FF-TSR-SGE-11,Sage,11,us,6,149.99,true
ff-liftforge-shoe,FF-LFG-CHR-8,Charcoal,8,us,8,,true
ff-liftforge-shoe,FF-LFG-CHR-9,Charcoal,9,us,8,,true
ff-liftforge-shoe,FF-LFG-SLV-10,Silver,10,us,7,,true
ff-airflow-cap,FF-AFC-BLK-OS,Black,OS,alpha,24,,true
ff-airflow-cap,FF-AFC-WHT-OS,White,OS,alpha,19,,true
ff-solarpace-short,FF-SPS-BLK-S,Black,S,alpha,14,,true
ff-solarpace-short,FF-SPS-BLK-M,Black,M,alpha,18,,true
ff-solarpace-short,FF-SPS-BLK-L,Black,L,alpha,10,,true
ff-solarpace-short,FF-SPS-NVY-M,Navy,M,alpha,12,,true
ff-solarpace-short,FF-SPS-NVY-L,Navy,L,alpha,8,,true
ff-solarpace-short,FF-SPS-RED-S,Race Red,S,alpha,0,,true
ff-zenflow-legging,FF-ZFL-BLK-XS,Black,XS,alpha,10,,true
ff-zenflow-legging,FF-ZFL-BLK-S,Black,S,alpha,16,,true
ff-zenflow-legging,FF-ZFL-BLK-M,Black,M,alpha,14,,true
ff-zenflow-legging,FF-ZFL-BLK-L,Black,L,alpha,9,,true
ff-zenflow-legging,FF-ZFL-MGT-S,Mauve,S,alpha,8,,true
ff-zenflow-legging,FF-ZFL-MGT-M,Mauve,M,alpha,11,,true
ff-ironvault-short,FF-IVS-BLK-S,Black,S,alpha,10,,true
ff-ironvault-short,FF-IVS-BLK-M,Black,M,alpha,15,,true
ff-ironvault-short,FF-IVS-BLK-L,Black,L,alpha,12,,true
ff-ironvault-short,FF-IVS-BLK-XL,Black,XL,alpha,7,,true
ff-ironvault-short,FF-IVS-OLV-M,Olive,M,alpha,9,,true
ff-ironvault-short,FF-IVS-OLV-L,Olive,L,alpha,6,,true
ff-glacierpeak-vest,FF-GPV-NVY-S,Navy,S,alpha,6,,true
